feature,confidence
mutation,low
delta_volume,high
blosum62,high
delta_hydropathy,high
delta_aromaticity,medium
delta_aliphatic_index,medium
delta_charge,medium
delta_polarity_flag,medium
delta_net_charge,medium
delta_instability_index,medium
position,low
mut_is_polar,low
wt_is_polar,low
delta_hydrophobic_stretch_count,medium
conservation_wt_freq,low
position_entropy,low
is_octapeptide_repeat_region,low
is_globular_domain_region,low
is_signal_peptide_region,low
delta_octapeptide_repeat_count,medium
is_gpi_anchor_region,low
