feature_group,target_type,fold,accuracy,f1,roc_auc,average_precision,mae,rmse,r2
biochemical_only,high_severity_classification,1,0.799140708915145,0.5961123110151187,0.858067858067858,0.6279152457674652,,,
biochemical_only,high_severity_classification,2,0.8066595059076263,0.6086956521739131,0.8862807989502842,0.6596516348296181,,,
biochemical_only,high_severity_classification,3,0.7819548872180451,0.6381461675579323,0.8690880998401221,0.701955580335994,,,
biochemical_only,high_severity_classification,4,0.7776584317937701,0.6310160427807486,0.8595659065967565,0.6564670986075896,,,
biochemical_only,high_severity_classification,5,0.7701396348012889,0.6007462686567164,0.8480160645339216,0.6927136861082789,,,
biochemical_only,severity_score_regression,1,,,,,3.7133300662137447,5.190963338254821,0.5848561153205076
biochemical_only,severity_score_regression,2,,,,,4.435128845493912,5.626947924761323,0.5849423541344401
biochemical_only,severity_score_regression,3,,,,,4.602428140522405,5.8609948120085065,0.5446132127629477
biochemical_only,severity_score_regression,4,,,,,4.8528756365848364,6.713838573630778,0.470130322875263
biochemical_only,severity_score_regression,5,,,,,4.938684807841986,7.5686076913732085,0.4346381763444115
conservation_only,high_severity_classification,1,0.38238453276047263,0.37431991294885747,0.5300051800051799,0.24414702015572715,,,
conservation_only,high_severity_classification,2,0.3276047261009667,0.3969171483622351,0.5855312860342747,0.2647069576447008,,,
conservation_only,high_severity_classification,3,0.35660580021482274,0.42459173871277617,0.5394415014198106,0.2784504550753163,,,
conservation_only,high_severity_classification,4,0.3866809881847476,0.4131551901336074,0.5145409096451652,0.26878110170082625,,,
conservation_only,high_severity_classification,5,0.4070891514500537,0.4261954261954262,0.5214969433719434,0.29204391966968013,,,
conservation_only,severity_score_regression,1,,,,,6.621447143035686,8.196466269217492,-0.035037377846375506
conservation_only,severity_score_regression,2,,,,,6.718116783290777,8.321145356012513,0.0923281984643145
conservation_only,severity_score_regression,3,,,,,6.981633075297538,8.559751299777385,0.028685113200541124
conservation_only,severity_score_regression,4,,,,,7.538718757512645,9.427409011213884,-0.044749028472541585
conservation_only,severity_score_regression,5,,,,,7.697410609261128,9.74704046599874,0.06235157625672694
structural_only,high_severity_classification,1,0.7271750805585392,0.5738255033557047,0.814944314944315,0.5237600609967517,,,
structural_only,high_severity_classification,2,0.686358754027927,0.5197368421052632,0.7996726265424327,0.4951780399517334,,,
structural_only,high_severity_classification,3,0.7099892588614393,0.5392491467576792,0.8038812131624788,0.5835473716531101,,,
structural_only,high_severity_classification,4,0.6949516648764769,0.538961038961039,0.786702841116937,0.5808746814218904,,,
structural_only,high_severity_classification,5,0.7024704618689581,0.5665101721439749,0.8142868633940062,0.6449026591725523,,,
structural_only,severity_score_regression,1,,,,,5.76057622169712,7.111994350852515,0.22073435964024557
structural_only,severity_score_regression,2,,,,,6.032297605066484,7.463585731714885,0.26977335090019594
structural_only,severity_score_regression,3,,,,,5.838031274370616,7.042232502044992,0.3425564476909563
structural_only,severity_score_regression,4,,,,,6.57200367934886,8.73094148747264,0.1039145360784246
structural_only,severity_score_regression,5,,,,,6.572243485109051,8.525614745402969,0.2826255620531579
combined_all_numeric,high_severity_classification,1,0.9398496240601504,0.8640776699029126,0.9872701372701372,0.9626545001114128,,,
combined_all_numeric,high_severity_classification,2,0.9570354457572503,0.9078341013824884,0.9910071704064998,0.9737695026278294,,,
combined_all_numeric,high_severity_classification,3,0.9441460794844253,0.8916666666666667,0.989601975803565,0.9719636442959813,,,
combined_all_numeric,high_severity_classification,4,0.9323308270676691,0.864516129032258,0.983495915132301,0.9556047265667521,,,
combined_all_numeric,high_severity_classification,5,0.949516648764769,0.9065606361829026,0.9879056352270638,0.9714186231073031,,,
combined_all_numeric,severity_score_regression,1,,,,,1.0194666290003802,1.491857579287349,0.9657107921864665
combined_all_numeric,severity_score_regression,2,,,,,1.2516441599421244,1.90120662674832,0.9526171406055102
combined_all_numeric,severity_score_regression,3,,,,,0.8470171267711779,1.3315944462035578,0.9764938392371658
combined_all_numeric,severity_score_regression,4,,,,,1.4381036428516256,2.1177079477138068,0.9472819412198762
combined_all_numeric,severity_score_regression,5,,,,,1.5798169938379376,3.9006356390900865,0.8498361969691095
combined_no_formula_features,high_severity_classification,1,0.8839957035445757,0.7440758293838863,0.9367812742812742,0.8358532379559129,,,
combined_no_formula_features,high_severity_classification,2,0.8947368421052632,0.7741935483870968,0.9410760911344087,0.835894946868096,,,
combined_no_formula_features,high_severity_classification,3,0.874328678839957,0.7505330490405118,0.9392285298398835,0.8610356181813895,,,
combined_no_formula_features,high_severity_classification,4,0.8721804511278195,0.7337807606263982,0.9254115351786368,0.8143653098126477,,,
combined_no_formula_features,high_severity_classification,5,0.8657357679914071,0.7422680412371134,0.9221823864681008,0.8095163977904216,,,
combined_no_formula_features,severity_score_regression,1,,,,,2.447127210954531,3.6100065939773707,0.7992208034625541
combined_no_formula_features,severity_score_regression,2,,,,,2.6371291327747226,3.6692045417664563,0.8235155395980225
combined_no_formula_features,severity_score_regression,3,,,,,2.5293640979871603,3.463652589795222,0.8409599872441533
combined_no_formula_features,severity_score_regression,4,,,,,2.929938252771441,4.2482382725138885,0.787849035103731
combined_no_formula_features,severity_score_regression,5,,,,,3.793542712694204,5.962660531045755,0.6491070368731017
